venda;data_hora;cliente;mesa;item;produto;quantidade;valor_unit;desconto;total_item
460;01/02/2022 08:13;CONSUMIDOR;M 1;119;SUCO DE LARANJA 400ML;1;14,5;0;14,5
460;01/02/2022 08:13;CONSUMIDOR;M 1;121;PAO SOURDOUGH OVOS;1;15,5;0;15,5
461;01/02/2022 08:14;CONSUMIDOR;M 2;119;SUCO DE LARANJA 400ML;1;14,5;0;14,5
461;01/02/2022 08:14;CONSUMIDOR;M 2;121;PAO SOURDOUGH OVOS;1;15,5;0;15,5
465;01/02/2022 09:01;CONSUMIDOR;M 1;46;QUICHE BACON 90G;2;19,5;0;39
467;01/02/2022 16:28;CONSUMIDOR;M 1;29;BOMBOLONI NUTELLA 80G;1;12;0;12
468;01/02/2022 16:29;CONSUMIDOR;M 3;33;CROISSANT  AMENDOAS 100G;2;14;0;28
468;01/02/2022 16:29;CONSUMIDOR;M 3;119;SUCO DE LARANJA 400ML;2;14,5;0;29
468;01/02/2022 16:29;CONSUMIDOR;M 3;131;QUICHE DE BACON SALADA VERDE;2;18,5;0;37
469;01/02/2022 16:31;CONSUMIDOR;M 2;125;SANDUICHE DE PEPERONI BRIE;2;29,5;0;59
470;01/02/2022 16:50;CONSUMIDOR;M 7;29;BOMBOLONI NUTELLA 80G;1;12;0;12
470;01/02/2022 16:50;CONSUMIDOR;M 7;30;BOMBOLONI DOCE DE LEITE 80G;1;12;0;12
472;01/02/2022 16:52;CONSUMIDOR;M 2;33;CROISSANT  AMENDOAS 100G;1;14;0;14
472;01/02/2022 16:52;CONSUMIDOR;M 2;34;FOCACCIA FORMAGGIO 246G;1;19;0;19
472;01/02/2022 16:52;CONSUMIDOR;M 2;37;FOLHADO MISTO COM TAMARA;1;14;0;14
473;01/02/2022 16:54;CONSUMIDOR;M 3;34;FOCACCIA FORMAGGIO 246G;1;19;0;19
473;01/02/2022 16:54;CONSUMIDOR;M 3;51;SOURDOUGH SEMI INTEGRAL 370G;1;16;0;16
471;01/02/2022 16:58;CONSUMIDOR;M 1;33;CROISSANT  AMENDOAS 100G;1;14;0;14
474;01/02/2022 17:00;CONSUMIDOR;M 2;42;PASTEL DE NATA 60G;1;8;0;8
475;01/02/2022 17:14;CONSUMIDOR;M 1;138;MINI CROISSANT 25G KIT C 5;1;21;0;21
476;01/02/2022 17:19;CONSUMIDOR;M 1;35;FOLHADO MACA 80G;1;14,5;0;14,5
477;01/02/2022 17:24;CONSUMIDOR;M 1;35;FOLHADO MACA 80G;1;14,5;0;14,5
478;01/02/2022 17:36;CONSUMIDOR;M 1;37;FOLHADO MISTO COM TAMARA;1;14;0;14
478;01/02/2022 17:36;CONSUMIDOR;M 1;129;QUICHE DE FRANGO ALHO PORO;1;18,5;0;18,5
478;01/02/2022 17:36;CONSUMIDOR;M 1;130;QUICHE DE TOMATE SECO SALADA;1;18,5;0;18,5
479;01/02/2022 17:37;CONSUMIDOR;M 2;53;SOURDOUGH GERGELIM 370G;1;17;0;17
479;01/02/2022 17:37;CONSUMIDOR;M 2;138;MINI CROISSANT 25G KIT C 5;1;21;0;21
481;01/02/2022 18:09;CONSUMIDOR;M 2;116;COUVE LIMAO ABACAXI HORTELA;1;16,5;0;16,5
481;01/02/2022 18:09;CONSUMIDOR;M 2;119;SUCO DE LARANJA 400ML;1;14,5;0;14,5
481;01/02/2022 18:09;CONSUMIDOR;M 2;125;SANDUICHE DE PEPERONI BRIE;1;29,5;0;29,5
481;01/02/2022 18:09;CONSUMIDOR;M 2;136;CROISSANT DA LARA;1;28,9;0;28,9
481;01/02/2022 18:09;CONSUMIDOR;M 2;141;CROISSANT BRIE PARMA MEL DE;2;25,5;0;51
482;01/02/2022 18:10;CONSUMIDOR;M 3;33;CROISSANT  AMENDOAS 100G;1;14;0;14
482;01/02/2022 18:10;CONSUMIDOR;M 3;116;COUVE LIMAO ABACAXI HORTELA;1;16,5;0;16,5
482;01/02/2022 18:10;CONSUMIDOR;M 3;119;SUCO DE LARANJA 400ML;1;14,5;0;14,5
482;01/02/2022 18:10;CONSUMIDOR;M 3;141;CROISSANT BRIE PARMA MEL DE;1;25,5;0;25,5
483;01/02/2022 18:15;CONSUMIDOR;M 2;42;PASTEL DE NATA 60G;1;8;0;8
483;01/02/2022 18:15;CONSUMIDOR;M 2;125;SANDUICHE DE PEPERONI BRIE;1;29,5;0;29,5
483;01/02/2022 18:15;CONSUMIDOR;M 2;126;SANDUICHE MISTO MOSTARDA NO;1;23,5;0;23,5
480;01/02/2022 18:18;CONSUMIDOR;M 1;42;PASTEL DE NATA 60G;2;8;0;16
480;01/02/2022 18:18;CONSUMIDOR;M 1;119;SUCO DE LARANJA 400ML;1;14,5;0;14,5
480;01/02/2022 18:18;CONSUMIDOR;M 1;125;SANDUICHE DE PEPERONI BRIE;2;29,5;0;59
480;01/02/2022 18:18;CONSUMIDOR;M 1;177;COCA COLA LATA 350 ML;1;6,5;0;6,5
485;01/02/2022 18:31;CONSUMIDOR;M 1;140;CROISSANT  TRADICIONAL 80 G;1;10;0;10
485;01/02/2022 18:31;CONSUMIDOR;M 1;179;SACHE GELEIA SABORES 15G;1;2;0;2
486;01/02/2022 18:35;CONSUMIDOR;M 2;32;COOKIES 80G;1;7;0;7
486;01/02/2022 18:35;CONSUMIDOR;M 2;119;SUCO DE LARANJA 400ML;1;14,5;0;14,5
486;01/02/2022 18:35;CONSUMIDOR;M 2;125;SANDUICHE DE PEPERONI BRIE;1;29,5;0;29,5
486;01/02/2022 18:35;CONSUMIDOR;M 2;140;CROISSANT  TRADICIONAL 80 G;1;10;0;10
487;01/02/2022 18:39;CONSUMIDOR;M 1;125;SANDUICHE DE PEPERONI BRIE;1;29,5;0;29,5
488;01/02/2022 18:43;CONSUMIDOR;M 3;141;CROISSANT BRIE PARMA MEL DE;1;25,5;0;25,5
489;01/02/2022 18:48;CONSUMIDOR;M 1;51;SOURDOUGH SEMI INTEGRAL 370G;1;16;0;16
489;01/02/2022 18:48;CONSUMIDOR;M 1;54;SOURDOUGH AZEITONA E ALECRIM;1;17;0;17
490;01/02/2022 18:58;CONSUMIDOR;M 2;29;BOMBOLONI NUTELLA 80G;1;12;0;12
490;01/02/2022 18:58;CONSUMIDOR;M 2;30;BOMBOLONI DOCE DE LEITE 80G;1;12;0;12
490;01/02/2022 18:58;CONSUMIDOR;M 2;42;PASTEL DE NATA 60G;2;8;0;16
484;01/02/2022 19:04;CONSUMIDOR;M 4;115;MACA GENGIBRE ESPINAFRE LIMAO;1;17,5;0;17,5
484;01/02/2022 19:04;CONSUMIDOR;M 4;141;CROISSANT BRIE PARMA MEL DE;1;25,5;0;25,5
492;01/02/2022 19:05;CONSUMIDOR;M 1;45;PIZZA AL TAGLIO GORGONZOLA E;1;22;0;22
492;01/02/2022 19:05;CONSUMIDOR;M 1;140;CROISSANT  TRADICIONAL 80 G;1;10;0;10
493;01/02/2022 19:06;CONSUMIDOR;M 2;50;SOURDOUGH 369G;1;15;0;15
491;01/02/2022 19:08;CONSUMIDOR;M 11;140;CROISSANT  TRADICIONAL 80 G;1;10;0;10
491;01/02/2022 19:08;CONSUMIDOR;M 11;145;MINI CROISSANT PAIN DE CHOC;1;21;0;21
494;01/02/2022 19:09;CONSUMIDOR;M 1;125;SANDUICHE DE PEPERONI BRIE;1;29,5;0;29,5
495;01/02/2022 19:14;CONSUMIDOR;M 1;34;FOCACCIA FORMAGGIO 246G;1;19;0;19
495;01/02/2022 19:14;CONSUMIDOR;M 1;53;SOURDOUGH GERGELIM 370G;1;17;0;17
495;01/02/2022 19:14;CONSUMIDOR;M 1;54;SOURDOUGH AZEITONA E ALECRIM;1;17;0;17
496;01/02/2022 19:16;CONSUMIDOR;M 2;35;FOLHADO MACA 80G;1;14,5;0;14,5
497;01/02/2022 19:27;CONSUMIDOR;M 1;180;SACHE MANTEIGA 10G;1;2;0;2
498;01/02/2022 20:21;CONSUMIDOR;M 1;116;COUVE LIMAO ABACAXI HORTELA;2;16,5;0;33
498;01/02/2022 20:21;CONSUMIDOR;M 1;128;CROISANT DE CROISSANT QUEIJO;1;29,5;0;29,5
498;01/02/2022 20:21;CONSUMIDOR;M 1;131;QUICHE DE BACON SALADA VERDE;1;18,5;0;18,5
499;01/02/2022 20:28;CONSUMIDOR;M 2;53;SOURDOUGH GERGELIM 370G;1;17;0;17
499;01/02/2022 20:28;CONSUMIDOR;M 2;145;MINI CROISSANT PAIN DE CHOC;1;21;0;21
501;02/02/2022 07:41;CONSUMIDOR;M 2;35;FOLHADO MACA 80G;1;14,5;0;14,5
501;02/02/2022 07:41;CONSUMIDOR;M 2;42;PASTEL DE NATA 60G;2;8;0;16
501;02/02/2022 07:41;CONSUMIDOR;M 2;140;CROISSANT  TRADICIONAL 80 G;2;10;0;20
501;02/02/2022 07:41;CONSUMIDOR;M 2;145;MINI CROISSANT PAIN DE CHOC;1;21;0;21
500;02/02/2022 07:48;CONSUMIDOR;M 1;41;MINI PAIN AU CHOCOLAT 35G;1;6,5;0;6,5
500;02/02/2022 07:48;CONSUMIDOR;M 1;42;PASTEL DE NATA 60G;1;8;0;8
500;02/02/2022 07:48;CONSUMIDOR;M 1;123;CROISSANT OVOS BACON MEL;1;19,5;0;19,5
500;02/02/2022 07:48;CONSUMIDOR;M 1;141;CROISSANT BRIE PARMA MEL DE;1;25,5;0;25,5
508;02/02/2022 08:12;CONSUMIDOR;M 7;29;BOMBOLONI NUTELLA 80G;1;12;0;12
508;02/02/2022 08:12;CONSUMIDOR;M 7;39;MINI CROISSANT 25G;2;4,2;0;8,4
508;02/02/2022 08:12;CONSUMIDOR;M 7;140;CROISSANT  TRADICIONAL 80 G;1;10;0;10
509;02/02/2022 08:15;CONSUMIDOR;M 7;50;SOURDOUGH 369G;1;15;0;15
510;02/02/2022 09:03;CONSUMIDOR;M 7;138;MINI CROISSANT 25G KIT C 5;1;21;0;21
510;02/02/2022 09:03;CONSUMIDOR;M 7;178;ADICIONAL DE OVO;1;2;0;2
510;02/02/2022 09:03;CONSUMIDOR;M 7;180;SACHE MANTEIGA 10G;2;2;0;4
504;02/02/2022 09:38;CONSUMIDOR;M 1;29;BOMBOLONI NUTELLA 80G;1;12;0;12
504;02/02/2022 09:38;CONSUMIDOR;M 1;33;CROISSANT  AMENDOAS 100G;1;14;0;14
504;02/02/2022 09:38;CONSUMIDOR;M 1;35;FOLHADO MACA 80G;1;14,5;0;14,5
504;02/02/2022 09:38;CONSUMIDOR;M 1;36;FOLHADO FRANGO 160G;1;14;0;14
504;02/02/2022 09:38;CONSUMIDOR;M 1;140;CROISSANT  TRADICIONAL 80 G;1;10;0;10
504;02/02/2022 09:38;CONSUMIDOR;M 1;141;CROISSANT BRIE PARMA MEL DE;1;25,5;0;25,5
504;02/02/2022 09:38;CONSUMIDOR;M 1;142;PIZZA AL TAGLIO PEPPERONI 210G;1;21;0;21
511;02/02/2022 09:41;CONSUMIDOR;M 1;29;BOMBOLONI NUTELLA 80G;1;12;0;12
511;02/02/2022 09:41;CONSUMIDOR;M 1;30;BOMBOLONI DOCE DE LEITE 80G;1;12;0;12
511;02/02/2022 09:41;CONSUMIDOR;M 1;42;PASTEL DE NATA 60G;1;8;0;8
512;02/02/2022 10:35;CONSUMIDOR;M 1;32;COOKIES 80G;1;7;0;7
512;02/02/2022 10:35;CONSUMIDOR;M 1;41;MINI PAIN AU CHOCOLAT 35G;1;6,5;0;6,5
512;02/02/2022 10:35;CONSUMIDOR;M 1;47;QUICHE FRANGO E ALHO PORO;1;18,5;0;18,5
512;02/02/2022 10:35;CONSUMIDOR;M 1;141;CROISSANT BRIE PARMA MEL DE;1;25,5;0;25,5
512;02/02/2022 10:35;CONSUMIDOR;M 1;145;MINI CROISSANT PAIN DE CHOC;1;21;0;21
513;02/02/2022 10:54;CONSUMIDOR;M 1;34;FOCACCIA FORMAGGIO 246G;1;19;0;19
513;02/02/2022 10:54;CONSUMIDOR;M 1;54;SOURDOUGH AZEITONA E ALECRIM;1;17;0;17
515;02/02/2022 16:07;CONSUMIDOR;M 2;129;QUICHE DE FRANGO ALHO PORO;1;18,5;0;18,5
515;02/02/2022 16:07;CONSUMIDOR;M 2;141;CROISSANT BRIE PARMA MEL DE;1;25,5;0;25,5
516;02/02/2022 16:10;CONSUMIDOR;M 2;36;FOLHADO FRANGO 160G;1;14;0;14
514;02/02/2022 16:42;CONSUMIDOR;M 1;42;PASTEL DE NATA 60G;1;8;0;8
514;02/02/2022 16:42;CONSUMIDOR;M 1;115;MACA GENGIBRE ESPINAFRE LIMAO;1;17,5;0;17,5
514;02/02/2022 16:42;CONSUMIDOR;M 1;125;SANDUICHE DE PEPERONI BRIE;1;29,5;0;29,5
514;02/02/2022 16:42;CONSUMIDOR;M 1;128;CROISANT DE CROISSANT QUEIJO;1;29,5;0;29,5
514;02/02/2022 16:42;CONSUMIDOR;M 1;130;QUICHE DE TOMATE SECO SALADA;1;18,5;0;18,5
518;02/02/2022 16:49;CONSUMIDOR;M 2;47;QUICHE FRANGO E ALHO PORO;1;18,5;0;18,5
518;02/02/2022 16:49;CONSUMIDOR;M 2;58;TARTELETE DE MORANGO 120G;1;18;0;18
518;02/02/2022 16:49;CONSUMIDOR;M 2;119;SUCO DE LARANJA 400ML;1;14,5;0;14,5
517;02/02/2022 16:51;CONSUMIDOR;M 1;30;BOMBOLONI DOCE DE LEITE 80G;1;12;0;12
517;02/02/2022 16:51;CONSUMIDOR;M 1;50;SOURDOUGH 369G;1;15;0;15
517;02/02/2022 16:51;CONSUMIDOR;M 1;136;CROISSANT DA LARA;1;28,9;0;28,9
517;02/02/2022 16:51;CONSUMIDOR;M 1;138;MINI CROISSANT 25G KIT C 5;1;21;0;21
520;02/02/2022 16:57;CONSUMIDOR;;29;BOMBOLONI NUTELLA 80G;2;12;0;24
520;02/02/2022 16:57;CONSUMIDOR;;58;TARTELETE DE MORANGO 120G;1;18;0;18
520;02/02/2022 16:57;CONSUMIDOR;;139;CROISSANT MUSSATRELA DE;1;25,5;0;25,5
522;02/02/2022 17:03;CONSUMIDOR;M 2;30;BOMBOLONI DOCE DE LEITE 80G;1;12;0;12
522;02/02/2022 17:03;CONSUMIDOR;M 2;35;FOLHADO MACA 80G;1;14,5;0;14,5
522;02/02/2022 17:03;CONSUMIDOR;M 2;57;TORRADA FARINA 165G;1;11;0;11
521;02/02/2022 17:05;CONSUMIDOR;M 1;118;CENOURA MACA 400ML;2;16,5;0;33
521;02/02/2022 17:05;CONSUMIDOR;M 1;120;BOWL DE IOGURTE FRUTAS AVEIA;1;12,5;0;12,5
521;02/02/2022 17:05;CONSUMIDOR;M 1;129;QUICHE DE FRANGO ALHO PORO;1;18,5;0;18,5
521;02/02/2022 17:05;CONSUMIDOR;M 1;140;CROISSANT  TRADICIONAL 80 G;1;10;0;10
524;02/02/2022 17:08;CONSUMIDOR;M 1;29;BOMBOLONI NUTELLA 80G;1;12;0;12
